District Name,Rank,County,ESC Region,Total Enrollment,% Economically Disadvantaged,Overall Score,% Lunch Participation,% Breakfast Participation,CACFP Supper,Afterschool Snack,CEP
CORPUS CHRISTI ISD,34,NUECES,2,33182,72.77138207461877,51.93396811332366,50.62502231468445,28.55542506930509,Yes,Yes,Yes
DEL VALLE ISD,35,TRAVIS,13,11078,89.27604260696876,51.7814265081371,69.325174734996,48.90026564877621,Yes,No,No
GALENA PARK ISD,36,HARRIS,4,21447,88.38065929966895,51.72438418646239,72.1489910833546,47.374272831247474,Yes,No,Yes
EAST CENTRAL ISD,37,BEXAR,20,10018,66.15092832900778,51.567615791575165,64.23386433830869,41.01829941399599,No,Yes,Yes
VICTORIA ISD,38,VICTORIA,3,13315,68.45662786331206,50.89372887720616,59.169844451613926,22.202535528605353,Yes,Yes,Yes
CLEVELAND ISD,39,LIBERTY,4,10860,93.47145488029466,50.54859178332572,72.2602777662388,34.96704468353203,No,Yes,Yes
IRVING ISD,40,DALLAS,10,32378,85.53029835073198,50.143628525905385,70.0547621296959,45.259875986962825,Yes,No,Yes
BRYAN ISD,41,BRAZOS,6,16047,79.0116532685237,50.053533004153245,67.13120282698985,36.541464594811565,No,Yes,Yes
SOUTHWEST ISD,42,BEXAR,20,13277,81.7880545303909,49.23531321240693,71.38586584658209,32.77769350152281,No,Yes,Yes
ECTOR COUNTY ISD,43,ECTOR,18,31825,61.926158680282796,49.05281159989526,56.91199703238195,49.64962468359954,Yes,No,Yes
SOCORRO ISD,44,EL PASO,19,47294,70.0744280458409,48.78065129407871,55.57483222201365,39.77388647715059,No,Yes,Yes
HURST-EULESS-BEDFORD ISD,45,TARRANT,11,22885,60.664190517806425,47.843565654358756,69.39486482331141,30.9896988970618,No,Yes,No
AMARILLO ISD,46,POTTER,16,30876,66.73791941961395,46.538255556789366,57.34946699239354,34.40177761738197,No,Yes,No
ALIEF ISD,47,HARRIS,4,40677,83.20180937630603,46.476024033036765,71.38830648418376,27.25789482398166,No,Yes,No
SHELDON ISD,48,HARRIS,4,10570,86.67928098391674,46.326453551096286,63.58185751354103,40.86197834542206,Yes,No,No
YSLETA ISD,49,EL PASO,19,37244,78.74556975620234,46.24652746788971,51.48436802751857,46.75087092202014,Yes,No,Yes
ABILENE ISD,50,TAYLOR,14,15438,64.43839875631558,45.57769882709895,66.2250216386819,28.042886834856954,No,Yes,No
GRAND PRAIRIE ISD,51,DALLAS,10,27431,74.07677445226204,44.91862118922849,65.3981251585076,37.13817979920318,Yes,No,No
"YES PREP PUBLIC SCHOOLS, INC.",52,HARRIS,4,14562,90.0013734377146,44.30870710459709,45.79252261267094,15.721152902858712,Yes,Yes,Yes
FORT WORTH ISD,53,TARRANT,11,74869,85.05522980138642,43.76571930034957,56.5493070686397,29.256785066379297,No,Yes,Yes
KILLEEN ISD,54,BELL,12,43894,61.82621770629243,42.307711165832316,63.20716310637683,33.01184077847621,Yes,No,Yes
MESQUITE ISD,55,DALLAS,10,38389,79.16851181327984,42.307230268402996,63.55084229001883,22.839039391796575,No,Yes,No
EL PASO ISD,56,EL PASO,19,50785,73.34449148370582,41.31065350913732,55.10219621866762,35.07020890894082,Yes,No,Yes
DUNCANVILLE ISD,57,DALLAS,10,11958,77.3122595751798,41.294524753913635,62.27599518021103,21.45105191772176,No,Yes,No
BRAZOSPORT ISD,58,BRAZORIA,4,11484,70.95959595959596,39.75996106384038,64.18737871324079,27.426232771060356,Yes,No,Yes
CARROLLTON-FARMERS BRANCH,59,DALLAS,10,24954,63.35256872645668,39.05924022503565,61.27196343430186,17.48249873292037,No,Yes,No
KIPP SCHOOLS,60,TRAVIS,13,32321,91.1141363200396,37.795780366280226,44.9305814951057,33.126269985007596,Yes,No,Yes
DICKINSON ISD,61,GALVESTON,4,11942,64.09311673086584,36.16242975306574,66.57118200934144,39.03926850146076,No,No,No
SAN ANGELO ISD,62,TOM GREEN,15,13860,62.82828282828283,33.999722081504,53.60561030773797,41.19663900913901,No,No,No
"INTERNATIONAL LEADERSHIP OF TEXAS, INC.",63,DALLAS,10,20538,61.505501996299536,33.67281338880662,57.815554682489314,18.43784943636858,Yes,No,Yes
UPLIFT EDUCATION-NORTH HILLS PREPARATORY,64,DALLAS,10,22183,72.91619708786007,32.119880850264096,63.854093319779835,32.31271504063828,No,No,No
TYLER ISD,65,SMITH,7,18148,77.82675776945118,28.89941958709867,61.996374481024496,26.80065193368509,No,No,Yes
